word,toxic
ลุงก กะลุงม ทำตัวไม่เป็นผู้ใหญ่ ไม่น่าเคารพ บทป่วย ผู้จัดห่วย เรทติ้งช่วงหลังห่วย พอดีกะริชชี่ออกไปเป็นนักแสดงอิสระพอดี เลยโยนขี้ให้น้องแม่งเลยซะงั้น เฮ้อ,4
เอ็นดูน้องญี่ปุ่น 5555,1
นมจขพเป็นนมควายล้วนไม่มีวัวผสม,3
ดัดจริตว่ะ,2
ตายกับเกือบตายเลือกมาเดี๋ยวจัดให้,3
เป็นหมาหรอต้องหาคนคุม?,6
พลิกโอกาสให้เป็นวิกฤต สุดยอดครับ,5
พวกที่มองไม่เห็นนี่เป็นพวกไม่รู้จักกาลเทศะเหมือนกันรึเปล่าเนี่ย,2
อีนมใหญ่,3
สำคัญตัวผิดป่าวจ๊ะ,6
หรือว่าเราเคยพบกัน,1
เป็นควายหรอ ถึงอยากได้คนคุม,6
มีมึงใช้อยู่คนเดียวอะ,2
โหไม่หลุดมาไม่รู้นะเนี่ย เป็นคนแบบนี้,4
คิดหรอว่าไม่มีใครรู้,4
ถ้ามึงทำตามหน้าที่ใครจะไปถามว่า มีไว้ทำไม แค่นี้แยกแยะไม่ออก,4
ใส่ชุดนั้นไปได้ยังไง,5
ขอประจานการกระทำไม่รับผิดชอบ รถคันนี้...นำสุนัขโตมาปล่อย กลางสะพานวัดพังม่วง 3 ตัว เวลา19:43.40น วันนี้ ทางวัดมีกล้องวงจรปืด เห็นทะเบียนชัดเจน พรุ่งนี้จะดำเนินการแจ้งความดำเนินคดี ขอเถอะครับมีสำนึกบ้าง...ปัดภาระตัวเองให้พ้นตัว สังคมไทยควรพัฒนา,4
ควาย,5
สวัสดีค่ะ,1
ความโง่มันเป็นโรคติดต่อหรอคะ โง่จากนายกสู่ประชาชนบางกลุ่ม สงสารเขานะคะ,5
เท่าไหร่ครับ,6
อยากตบกูเดินมาตบสิไม่ใช่เอาแต่พูดว่าอยากตบ,6
ใครทันตอนปีที่มีกีฬาสี 6 สี บ้างคะ? เหลือง ชมพู เขียว แสด ม่วง และฟ้า(ร.ร.2) ช่วงนั้นมี อจ บางคนด่า ร.ร. ฝ่ายตรงข้ามด้วยนะ เหมือนบลูลี่ เหมือนโรงเรียนลูกเมียน้อย เพราะ ร.ร.เค้าเพิ่งเปิดใหม่ สรุปสีฟ้าชนะ เหรียญเยอะสุด ร.ร.นี้เน้นรับ คตนกฬ,4
พูดแบบเหยียดๆเลยนะ ถามจริงเพิ่งรู้จักยี่ห้อนี้วันนี้รึเปล่าคะ ที่บอกจะซื้อมาเผานี่มีปัญญาซื้อใช่ปะ แล้วรู้ยังว่าเขามีshopอยู่ไหนบ้างอ่ะ ไม่ได้มีขายตาม7-11 บิ๊กซี โลตัสนะ5555555,2
เหมือนจะยังไม่รู้ตัวนะ ว่ายิ่งบังคับคนยิ่งเกลียด,2
ปากเก่งนักหรอเจอหน่อยดิ,3
คนอวดรวยที่แอ๊ค พูดมาก พรีตัวเองเยอะ,6
เห็นแล้วอายแทน มีการศึกษาบ้างไหม,4
แน่จริงก็ลองดูสิ,6
นี่รู้ยังคนนั้น1วิแตก,3
สวยจนอยากจับกด,3
ดูเอานะ มั่นหน้าเกิน,4
กูจะไปเผาบ้านมึง,6
หนังหน้าหรือส้นตีน,6
รอมึงตายอยูนะตู่​ อยากส่งมินิฮาทให้กำลังใจตอนมึงตายมากๆเลย,6
ชีวิตก็แค่นี้,1
ค่อยๆเล่นไปนะครับ ไม่ต้องรีบ ขอให้สนุกกับการเดินป่านะครับ,1
แดกหมัดกูมั้ยจะได้รู้ว่าไม่ควร,3
ตอนปี้กันพวกเอ็งคิดไงวะ ถามจริง?,5
โง่กว่าประยุดก็อินี้แหละ,2
ไปคาบมา!,1
“คนแบบนั้น เป็นได้แค่xxx” #ตูมสนิท,5
ร้านอาหาร และเครื่องดื่ม ที่ทำให้คุณจะไม่สามารถลืมอดีต เพราะเวลา = วันวาน,1
นี่รู้ยังคนนี่เป็นกระหรี่จ้า,3
กลัวว่าฉันจะเปิดโปงเรื่องนี้รึ,4
นางนี่เป็นพวกนิสัยไม่ดีแย่งผัวชาวบ้าน,4
แค่เพียงสบสายตา,1
คุณจัดอยู่ในประเภทสัตว์ชั้นต่ำ,6
เป็นนายกที่พูดอะไรก็ดูโง่ไปหมด,2
ทำเป็นเลี้ยงสาวเงินยังขอพ่อขอแม่อยู่เลย,6
มองหน้้าหรือมองนมดีนะ,3
Report คนที่เหนือกว่าหัวหน้าไปเลยค่ะ ทัศนคติเหี้ยๆ โทดที่หยาบ แต่เกลียดมากคนแบบนี้,2
แหกตาดูนะ จะได้หายโง่,5
คือไม่เข้าใจว่า ทำไมต่อหน้าโครตเป็นเพื่อนที่แสนดี แต่ลับหลัง กลับปากไม่มีหูรูดขนาดนี้,4
แอบมองเธออยู่นะ เข้าโรงแรมกันดีมั้ยล่ะ,3
มนุษย์ป้าสุดๆ แต่ไปอยู่ผิดที่ผิดทาง นั่นในรร.นะ แก่แค่ตัวจริงๆ,5
ชีวิตวุ่นวาย,1
ล่าสุดนางบอกคนแข็งแรงไม่เป็นไร สู้กับมันได้ อดทนได้ ผมยังสู้ไหวเลย,2
พวกเราจับผิดหรือพวกเธอตาบอด,6
จริงครับ คนนั้นเขาเป็นแบบนั้นจิงๆ,4
ถ้ากูเจอกูจะเอาปืนยิงพวกมึงให้ตายโหงหมด,3
ดูๆชอบนัดเพื่อนสนิทผู้หญิง มันคิดนอกใจ,4
แดกเยี่ยวไหมละมึง อย่างชอบ,6
อยากให้ปิดความลับก็มาห้องพี่,4
บางคนก็มีแต่โดนจูงจมูกให้คิดตามทำตามคนอื่น คิดเหี้ยอะไรเองแยกแยะเองไม่เป็น สมเพช,2
ก็ดูสิไม่แปลกใจที่ประเทศไม่เจริญ,4
แคร์ทำไม,2
อ้วน,6
ทำอะไรเป็นบ้าง สร้างอะไรให้สังคมได้หรอ,2
นิสัยแบบนี้ใครจะเอา,6
ปิดไม่มิดนะคุณ,4
แฮชแท็กกูไม่ได้มีผลเหี้ยอะไรกะเซลสมองมึงเลยเหรอ กูเสียใจนะ,5
มีแต่สัตว์ดิรัจฉานที่อยู่แต่ในป่านั้นหล่ะที่คิดแบบนั้น,2
เขาไม่ได้โง่จ้า แค่ไม่มีสมองตั้งแต่แรก,2
ไอ่หนอนขึ้นหน้า,5
นี่รู้ยังคนนี่เป็นผู้ขายน้ำจ้า,3
วันนี้ ... ฝากชาวกระบี่และจังหวัดใกล้เคียงด้วยนะ,1
ทำตัวแบ๊วแล้วต้องอ่อนแอ,2
ไม่ปลุกซักอันเลย ขอบพระคุณ,1
ฟ้องเลยค่ะ เซฟหลักฐานไว้ค่ะ และเชือดไก่ให้ลิงดู ร้อยทั้งร้อยไม่กล้าเปิดเผยตัวตนหรอกค่ะ พวกนักเลงคีย์บอร์ดหน้าตาโปรไฟล์ยังไม่กล้าเผยเลยค่ะ ซัพพอร์ตคุณปุ้ยค่ะ,4
หวั่นไหวก็เพราะเธอ,1
ฝอยขัดหม้อ,5
ถ้าไม่ทำตามจะเปิดเผยว่าเป็นคนแบบนี้,3
ร่านหอยเอาไปทั่ว,6
หน้าเหมือนเหี้ยเลย,5
ทำให้ฉัน,1
ไม่ทราบว่าผู้ชายขายน้ำได้มากสุดแค่นี้เองหรอ อ,6
กลัวเกินไป,1
เก็บกดมั้ง ตอนเด็กโดนมาตอนโตสอบครูเลยอยากตีบ้างหรอ 5555555555555555,5
โรงเรียนไม่ได้ขอร้องให้เธอเข้ามาเรียนที่นี่ ไม่พอใจก็ออกไป,2
ร่านหาผู้ชายขนาดนี้ เบาๆหน่อยนะ,6
ซิงแล้วยังไม่เจียมเสนอหน้ามาร้านเหล้าให้ผู้ตอม เขาไม่มองมึงหรอกจ้า,6
ใช่ค่ะ เราเพิ่งแยกกันแค่วันเดียว,1
ความอ่อนแอ,1
ไหนบอกแค่กอด แล้วที่สอดคืออะไร,3
นั่นขา หรือท่อนไม้,5
เพื่อนตอแหล,2
อยู่ได้ทั้งคืนถ้าไหวก็มาดิ,3
ดูดี,1
ให้พ่อมึงตายก่อนนะเอ๋ กูจะทำท่ามินิฮาทให้,6
น่าจะจำมาจากละคร,2
คุยซะนึกว่ากำลังจะจีบ,1
ชัดกว่าทำเลสิกขนาดนี้ พระอาทิตย์ดับยังเห็นอะ,4
คุยเก่งมากๆเลยครับ,1
ไอครูที่โพสนี่ตรรกะไหนคะ วิจารณ์โรงเรียนไม่ได้เลยหรอ จะย้ำอยู่กับที่จริงๆหรอ,4
มันต้องจับผิดด้วยเหรอ แค่ดูคลิปฟังเสียงก็รู้แล้ว,4
คนรอมันเหงานะ,1
2500 นี้เกรดไหนหรอครับ.,6
เป็นกูคือ ตบมา ตบกลับ ต่อยมา ต่อยกลับ ไม่โกง ด่ามาด่ากลับ หนังเห เกลียดคนแบบนี้,3
ถูกต้องแล้วจ้า นี่เคยเจอแบบ เจอกันซึ่งๆหน้าปากไม่ดีเหมือนตอนพิมพ์ด่านะ พอเราจะเอาเรื่องปากมุบมิบอะไรก็ไม่รู้ พูดไม่ชัด พูดไม่ดังเหมือนตอนพิมพ์ด่าเรา ที่สำคัญอายุเยอะกว่าเราจ้า หงายการ์ดไม่เคารพรุ่นพี่หว่ะ นี่สวนคืน หน้าไม่เหมือนแม่กู สันดานหมาแบบนี้ไว้ใช้กับคนในบ้านมึงนะ เงียบเลยจ้า,5
นี่คนหรอคะ ไม่อายบ้างหรอ,6
ถ่ายคลิปมันไว้ วันนี้ทุกคนจะต้องรู้,4
นี่รู้ยังคนนี่เป็นผู้ขายน้ำจ้า,4
ถ้าได้เป็นผัวจะกราบเช้าเย็นเลย,3
สงสัยคงจะเป็นสันดานพวกมึง,5
ไม่ใช่มะม่วงก็ร่วงได้นะ,6
โป๊ะเลย,4
อยู่ห้องพี่ทั้งคืนก้ไม่ได้นอน,3
ไม่จำเป็นต้องมีมันก้ได้,2
อย่าให้กูรู้ มึงไม่รอดแน่,6
รุกแรงนะน้องไหวหรอ,3
Aปากไม่ดี เห็นBยังไงก็ได้ ไม่ว่าจะมาใหม่หรือไม่สู้คนเลยชอบกวน เออ ชอบเขานั่นแหละ แต่ปากไม่ดี ว่าตีกระทบรึว่าเหน็บแรงๆ แล้วก็โดนเขาตอกหน้ามา ได้ทั้งวาจาและกำปั้น,4
นี่โคตรขี้แพ้เลย,5
ครูไม่ลดตัว เหยียดได้อีกนะครูพวกนี้,2
อยากให้ปิดความลับก็มาห้องพี่,3
ซักวันนึงถ้ากูมีเงิน มึงก็เตรียมตัวไว้ให้ดีละกัน,3
โห เห็นจังๆ ขายหน้าแทน,4
เพลียจิตกับความคิดสลิ่ม,2
ไวรัสก็กลัวตัวเหี้ยก็ต้องไล่,6
นี่รู้ยังยายนี่ซิงจ้า,3
แมสแล้ว ทำหยิ่งนะ,4
แค่อยากถามเค้าว่า เหนื่อยไหม555,6
คิดถึงมึง คิดถึงคาน,2
มีเยอะค่ะผู้หญิงแบบนี้ หลายคนเป็นคนให้ความรู้เป็นวิทยากรด้วยซ้ำไป แต่ไม่รู้เรื่องพื้นฐานของสิทธิในเนื้อตัวหรือร่างกายเลย ริอาจไปสอนคนอื่น และสอนแบบผิดๆ ค่านิยมแบบนี้ก็จะยังคงอยู่ต่อไปไม่จบไม่สิ้น,2
กระดาษเรียกพี่,5
อ่อนแอก็แพ้ไป,6
ตั้งใจแล้วว่าถ้ามีลูกจะตั้งชื่อว่าท่าน มันเท่ ท่านครับกินข้าวสิครับ ท่านทำไมไ ม่เก็บของเล่น โตไปสั่งกาแฟพนักงานก็จะตะโกนว่าคาราเมลมัคเคียโตได้แล้วค่ะคุณท่าน ขอเชิญคุณท่านที่เคาเตอร์ประชาสัมพันธ์,1
ใครเขาถามความเห็นคุณหรอ,2
ใหนบอกเบาๆไงคะ อีดอก มึงแหละเสียงดัง,2
อ้วนมากผิวคล้ำ อีอ้วน หมูดำ ฮิปโป ไม่เคยคิดอยากเรียกชื่อนางเลยไม่เข้ากับหน้าตามาก เรียนก็อ่อนกีฬาก็แย่,6
มันต้องตายเพราะความชั่ว แล้วตัดหัวเสียบประจาน,3
แตกในมันเลย,3
ใครทันบ้าง ลบอย่างไว้ ดูๆ,4
ย้อนแย้งหรือเปล่า,4
ใครมีปัญหามาเครียกับกู,3
กระเทยเถื่อน,6
นั้นคนหรือควายทำไมโง่จัด,6
ควายแท้ ทำอะไรไม่คิด สมควร,5
โง่กว่าประยุดก็อินี้แหละ,5
อยากได้Aก็มาห้องพี่,3
นิสัยแย่เกินคนนี้ รับไม่ได้จริงๆ,2
อยากลงไปนั่งอมกล้วยให้เขาเลย,3
ขอดมหน่อย,3
ชัดกว่าทำเลสิกขนาดนี้ พระอาทิตย์ดับยังเห็นอะ,6
แน่จริงก็ลองดูสิ ทางนี้ก็ไม่ยอมเหมือนกันคนอื่นได้รู้ความลับเธอแน่,4
ทำเป็นป่าวเนี่ย,2
โดนนิดโดนหน่อยทำเป็น..อยากตายรึไง,3
คนนั้นไม่ใช่คนดีเลยเดี๋ยวบอกความลับให้ฟัง,4
ทำใจดีสู้เสือ,1
โตมาดีขนาดนี้ ลองทายดูซิ เด็กคนนี้คือใคร?,1
แก แกเป็นเกย์รึป่าว,2
จะไม่โพสต์ตอบโต้แล้วโพสต์นี้จะเป็นโพสต์สุดท้ายสำหรับคนที่คิดอะไรไม่ได้แบบมึง #จะคิดอะไรก็เชิญจ้า,5
เรื่องของเขาคุณเสือกไรคะ,6
แค่เพียงสบสายตา,1
อย่าหวังว่าจะมีใครสนใจ,2
ใส่เดี่ยวกะกูมั๊ย ขอแบบไม่ต้องเบา ไม่ต้องถากๆ พูดละขึ้น!!,3
ไม่ทราบว่าบ้านจนหรอ555,6
ทำอยากมีความรักแต่ไม่พัฒนาตัวเอง นกไปจ้า,6
เล่นเกมกันครับ,1
ขอวาปๆ,1
โอโหโครตฉลาดเลยทำไมคนไทยคิดไม่ได้นะ,5
จริงสุดด,1
แชทอยากจูงมือแฟนตอนเย็นๆ ไม่เอาอ่ะ ยังไม่มืดเลย เหหหหห!!!! แปลกๆเด้ออ,4
ความโง่มันเป็นโรคติดต่อหรอคะ โง่จากนายกสู่ประชาชนบางกลุ่ม สงสารเขานะคะ,2
ที่ดูแล้วมันไม่มีแฟน เกย์ชัว,4
มันดูมีเวลาว่างมากเลยเนอะ งานก็ไม่ช่วย แต่ชวนกันไปเที่ยวเล่นได้,2
ฉันเคยเจอคนแบบมอภีมในมหาลัย อ.สนิทกับนศ.มาก ปรึกษาได้แทบทุกเรื่องตั้งแต่เรื่องเรียนยันเรื่องส่วนตัว ไม่มีเงินอ.ก็ให้ยืม ไปทำงานที่ห้องพักอาจารย์อ.ก็ชอบซื้อของกินมาให้กิน ชอบพานศ.ไปเลี้ยงข้าวชาบูหมูกระทะอยู่บ่อยๆ คือเธออาจจะไม่เคยเจอคนแบบนี้ ก็ไม่ต้องเหมาว่าอ.เขาปลอมก็ได้นะ #มอภีม,4
ลุงบางคนพึ่งรู้จักกูเกิ้ล,5
เปิดความลับที่ปกปิดไว้ให้รู้กันสิ้น,4
ปัญหาของโลกคือคนฉลาดมักจะสงวนท่าทีด้วยความสงสัย ในขณะที่คนโง่จะเต็มไปด้วยความมั่นใจ,2
อันนี้ตลก อีเรื่องซาแจกิ ที่โดนแฉอยู่ตอนนี้อ่ะ ในแชทบอกประมาณว่า ขอโทษนะ แต่ช่วงวันที่ 5-8 กับ 12-15 เม.ย. เราคงทำไม่ได้ เพราะมีวง xxxx กับ xxxxx คัมแบค อารมณ์ว่าชาร์ตมันพุ่งเพราะคนติดตามเยอะ จนทำซาแจกิไม่ได้ ซึ่งทั้งสองช่วง ตรงกับคัมแบคของบังทัน กับ บพ. ปีที่แล้ว,4
นี่คือหลักฐานว่าพ่อมันเป็นฆาตกร,4
หน้าเหมือนผีเลย,5
อีนมใหญ่,5
ยังเชื่อว่าด๊อกเตอร์กลวงนั้นเก่งจริงๆอีกหรือเนี่ย,5
พอมาเห็นที่คุณเขียนก็ว่าทำไมไม่ค่อยชอบเขียนเพราะงี้นี่เอง ใครจะไปอ่านลายมือคุณออก,4
เคยพูดถึงมะตูมไปครั้งหนึ่งเรื่องคำพูดเวลาออกรายการ ไม่ได้แท็กหาด้วยนะ แต่โดนแอคลับเข้ามาด่า และแอคจริงบล็อคจ้า,4
มีคนบอก นายกโง่ ไม่เชื่อ แต่มาวันนี้ เชื่อละจริงๆ ว่าโง่,5
ต้องใช้ google บ่อยๆนะจ๊ะ ไม่ใช่แค่หัดเข้าแล้วมาอวดคนอื่นเขาจ้า,5
รูปประกอบจ้า,4
หนักนมมั้ยน้องให้พี่ช่วยขย่ำให้ฟินมั้ย,3
อยากดูดไอนั่นเขาเลย,3
ดูไร้ค่าจัด ร่านหอยเอาไปทั่ว,4
ตัวมึงเหม็นเปรี้ยวจนจะยำได้แล้วนะ ใส่เครื่องยำเลยมั้ยไอห่า,6
มีคนแยกระหว่าง หมูทอดกระเทียม กับ หมูกระเทียม ไม่ออกด้วยเหรอ?,2
เขาไม่น่าจะมีนะ สมองน่ะ,5
ไม่ใช่ไอชิก็ทำมึงหน้าเหลืองได้นะ,3
แอบมองนมเธออยู่นะ,3
เบื่อความคิดได้ดีเพราะไม้เรียว ปัญญาอ่อนจ้า อยู่ที่ตัวมึงค่ะฮัลโหล,6
ดูก้นใหญ่ๆหน้าอกใหญ่ๆ นั่นดิ,3
สลิ่มที่บอกว่าจะเผาสินค้าทิ้ง อย่าลืมถ่ายคลิปมาลงนะคะ ดิชั้นอยากเห็นว่าเผาจิงไหม กลัวจะปากดีแต่ตอนพิมพ์,2
เข้าใจละว่าทำไมเข้าเรียนกับอาจารย์พวกนี้น้อย,2
เข้าใจเลยค่ะ จะร้องไห้,1
เขาก็เป็นผู้หญิงคนหนึ่งที่ถูกสอนมาแบบนี้อ่ะค่ะ ตอนนี้ผู้หญิงหลายคนยังไม่ตระหนักถึงสิทธิของตัวเองด้วยซ้ำ,5
แอบรูัมาว่ายากจนไม่รู้จักเจียมตัวทำตัวดูแพง,4
นายกไม่ได้พูดอะไรผิดนะครับ ท่านพูดตามสิ่งที่ท่านมี,2
ผู้ชายขายน้ำ,6
ทุกหยดซ่า โซดาสิงห์,1
พอรู้แบบนี้เขาดูไร้ค่าจัด,4
พวกเราจับผิดหรือพวกเธอตาบอด,5
คิดไปเองทั้งนั้นจ้า,6
นี่เรียกเก่งแล้วหรอ,5
คุณควรสอนมากกว่าควรแหนบแนมแบ่งแยกรึเปล่า,5
เห็นจังๆ แบบนี้เรียกว่าไรดี,6
ตบสิ ต้บเลย ระวังเค้าสวนมากับลูกปืนด้วยจ้า สาระแนเสนอหน้านัก,6
มันแอบตกภาษาไทยนะคะ ฉนวน...นั่นมันเอาไว้ป้องกัน เช่น ฉนวนกันไฟฟ้า ไม่ใช่เหรอ?,5
เห็นเขาดูเก่งแบบนั้น จริงๆไม่มีสมอง,4
1300 กอดไม่ค่อยอุ่น ไม่ตรงปก,3
ชอบให้เด็กอมไอติมกู,3
แค่มึงตายประเทศไทยก็อาจจะดีขึ้น,6
จะไปไหนก็ไป,2
ใหญ่ขนาดนั้นยังต้องรออะไรอีกหรอ น้ำลายไหล,3
หน้าโหล,5
วันนี้กูต่อยมึงแน่,3
